bulit_area,zone_east,zone_north,zone_south,zone_west,construction_status,bhk_type,luxury_category,price_value
0.5866235167206041,0.0,1.0,0.0,0.0,2.0,3.0,2.0,7.1
0.22826321467098168,1.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0
0.11035598705501617,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.61
0.1655879180151025,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.08
0.09859762675296657,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.32
0.11574973031283711,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.08
0.09859762675296657,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.79
0.1336569579288026,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.54
0.13398058252427186,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.77
0.08586839266450916,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.64
0.39622437971952534,0.0,1.0,0.0,0.0,2.0,3.0,2.0,6.9
0.13387270765911544,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.75
0.5418554476806904,0.0,1.0,0.0,0.0,0.0,3.0,2.0,11.5
0.07648327939590074,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.35
0.23754045307443367,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.7
0.27939590075512405,1.0,0.0,0.0,0.0,4.0,3.0,2.0,4.5
0.47389428263214667,0.0,1.0,0.0,0.0,2.0,2.0,1.0,6.5
0.11186623516720604,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.2
0.15016181229773465,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.9
0.2543689320388349,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.9
0.18047464940668825,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.5
0.09320388349514563,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.65
0.15771305285868392,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.95
0.10852211434735706,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.6
0.3751887810140237,0.0,0.0,0.0,1.0,2.0,3.0,2.0,8.5
0.2300970873786408,1.0,0.0,0.0,0.0,1.0,3.0,2.0,2.08
0.09902912621359222,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.75
0.17454153182308524,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.89
0.13959007551240563,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.8
0.367529665587918,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.8
0.13042071197411004,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.85
0.12168284789644013,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.85
0.09784250269687164,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.82
0.1574973031283711,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.25
0.17497303128371092,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.04
0.16084142394822007,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.55
0.15382955771305287,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.87
0.2830636461704423,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0
0.15598705501618124,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.05
0.1422869471413161,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.2
0.24261057173678535,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0
0.23516720604099245,1.0,0.0,0.0,0.0,1.0,3.0,2.0,3.8
0.11628910463861919,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.68
0.11014023732470335,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.87
0.2296655879180151,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.5
0.4717367853290183,0.0,1.0,0.0,0.0,2.0,3.0,2.0,4.8
0.12297734627831716,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.9
0.1302049622437972,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.1
0.39622437971952534,0.0,1.0,0.0,0.0,0.0,3.0,2.0,5.5
0.17993527508090615,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0
